Cust_ID,Name,Avg_Mthly_Spend,No_Of_Visits,Apparel_Items,FnV_Items,Staples_Items
1,Abraham ,1123,28,1,16,14
2,Adela ,9818,13,5,2,5
3,Adelina ,9824,10,10,2,2
4,Adrian ,3097,23,2,8,9
5,Adrianna ,817,28,1,17,17
6,Aide ,3039,21,1,8,12
7,Alex ,4676,22,3,8,13
8,Alexandria ,7869,14,6,3,3
9,Alline ,5585,21,2,10,12
10,Allyn ,4589,23,2,8,9
11,Ana ,7430,11,10,1,2
12,Angeline ,3353,17,2,12,9
13,Ardella ,7201,11,6,3,5
14,Arianne ,4779,17,1,7,10
15,Arielle ,1702,24,1,12,19
16,Arlene ,2086,24,2,13,20
17,Armand ,741,26,1,17,16
18,Ashley ,5528,17,4,12,10
19,Augustus ,4686,20,3,10,11
20,Aura ,2229,26,0,10,19
21,Aurelio ,4673,23,3,8,11
22,Bella ,7158,14,6,3,2
23,Benedict ,8537,10,4,1,3
24,Bernard ,607,28,0,19,18
25,Berta ,618,28,1,14,13
26,Beth ,9995,11,6,2,2
27,Bettina ,4647,23,4,9,14
28,Billi ,565,22,1,19,17
29,Blair ,2038,26,2,18,15
30,Bong ,1304,23,1,16,19
31,Brad ,2411,26,1,17,17
32,Breanna ,5497,21,2,9,12
33,Brent ,3970,17,3,7,10
34,Brigitte ,2500,3,0,1,1
35,Brittanie ,627,27,2,16,20
36,Cammy ,2266,27,2,15,20
37,Carla ,7756,11,10,2,3
38,Carmen ,1000,4,0,1,7
39,Carolina ,9261,11,10,4,2
40,Carolyn ,584,24,0,18,16
41,Carolyne ,9397,15,6,4,3
42,Carolyne ,1294,29,1,12,19
43,Carolynn ,1265,24,1,16,14
44,Carroll ,992,22,0,16,19
45,Cassey ,8342,10,8,4,3
46,Catalina ,1517,28,0,10,13
47,Catarina ,8036,11,10,4,3
48,Catherina ,572,29,1,15,14
49,Cathie ,8982,12,7,2,10
50,Ceola ,1011,27,2,10,19
51,Chanel ,3345,21,1,11,13
52,Charita ,9143,14,7,3,1
53,Charlene ,3300,23,3,12,11
54,Charlette ,2417,24,2,18,14
55,Chelsie ,9551,10,4,1,1
56,Chet ,7119,12,9,5,3
57,Christinia ,1511,25,2,17,19
58,Cinthia ,1142,24,1,13,16
59,Clair ,7050,14,5,2,1
60,Claretha ,9742,15,10,4,3
61,Clarisa ,914,22,0,10,15
62,Clark ,2060,23,1,18,17
63,Collen ,1551,22,1,14,18
64,Collin ,1032,23,0,19,15
65,Corinna ,9215,14,5,2,1
66,Corinna ,4459,18,2,11,14
67,Cornelius ,3135,17,4,12,13
68,Craig ,1924,27,2,14,18
69,Cythia ,2042,24,1,16,16
70,Dani ,1860,29,0,11,17
71,Dannette ,1465,28,2,19,14
72,Darci ,8893,14,6,1,2
73,Daria ,5707,24,2,9,9
74,Debbi ,7948,11,5,3,2
75,Dedra ,2415,28,2,15,18
76,Deedee ,7030,15,4,2,8
77,Demetria ,8573,13,9,1,2
78,Demetria ,3799,17,4,9,11
79,Dewayne ,9391,15,6,4,1
80,Diamond ,4568,18,5,8,11
81,Dodie ,8816,15,5,1,1
82,Doreen ,8313,11,5,4,1
83,Doreen ,3292,21,2,11,10
84,Drew ,7535,15,7,5,5
85,Duncan ,1814,24,0,19,19
86,Dusty ,8572,14,7,5,5
87,Earlean ,8916,10,5,4,5
88,Earline ,9871,12,7,5,5
89,Earnest ,6000,6,0,12,3
90,Eldridge ,3172,25,1,11,11
91,Elliot ,1143,28,0,18,18
92,Ellsworth ,3315,6,5,9,12
93,Elvira ,9614,15,7,3,3
94,Ema ,7000,3,0,10,9
95,Emelia ,1414,25,1,18,16
96,Emelina ,9756,11,9,2,4
97,Emil ,1409,22,0,16,17
98,Eneida ,8611,14,5,4,3
99,Erica ,3204,24,2,11,13
100,Ethyl ,8487,10,9,4,5
101,Exie ,4115,8,7,10,11
102,Felicitas ,2104,25,1,18,16
